Fecha,Nodo,Partida,Rubro,Producto,Orden_Partida,Orden_Nodo,Budget,Statemens,Real,diff,%,Monto,Orden_Statement
2025-01,Ingresos,Ventas EPC,EPC Techos,Unicentro,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Unicentro,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Casa Orion,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Casa Orion,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Jugos Naturales,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Jugos Naturales,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Agropecuaria San,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Agropecuaria San,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Clinica Morasurco,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Clinica Morasurco,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Hospital Infantil,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Hospital Infantil,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Desarrollo Campesino,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Desarrollo Campesino,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Casa francisco Gutierrez,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Casa francisco Gutierrez,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Hotel Adamo,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Hotel Adamo,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,SAN NICOLAS (MARIA FERNANDA ROSAS SEGURA),0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,SAN NICOLAS (MARIA FERNANDA ROSAS SEGURA),0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,B.A.S INGENIERIA,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,B.A.S INGENIERIA,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,SURTISUR,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,SURTISUR,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,CEMENTOS CAUCA,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,CEMENTOS CAUCA,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Casa Guillermo,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Casa Guillermo,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Nava del sur,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Nava del sur,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Estacion de Servicio Andalucia,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Estacion de Servicio Andalucia,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Apartamentos Gonzalo Jimenez,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Apartamentos Gonzalo Jimenez,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Panificadora la Villa,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Panificadora la Villa,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,EPC Techos,Lacteos Tulua,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,EPC Techos,Lacteos Tulua,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,Mini granjas,Delta 1,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,Mini granjas,Delta 1,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,Mini granjas,Delta 2,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,Mini granjas,Delta 2,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,Mini granjas,Polaris 1,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,Mini granjas,Polaris 1,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,Mini granjas,LYRA 1,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,Mini granjas,LYRA 1,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,Mini granjas,ORBIS 1,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,Mini granjas,ORBIS 1,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,Mini granjas,Polaris 2,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,Mini granjas,Polaris 2,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,Mini granjas,Polaris 3,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos EPC,Mini granjas,Polaris 3,0.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ventas EPC,Mini granjas,NAOS 4,0.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,HAPINNA,1.0,0.0,436136.8810364196,Budget,0.0,0.0,0.0,436136.8810364196,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,TIGRE ,1.0,0.0,2823650.063156128,Budget,0.0,0.0,0.0,2823650.063156128,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,CAMPOS,1.0,0.0,2411056.0055996072,Budget,0.0,0.0,0.0,2411056.0055996072,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,CUELLAR,1.0,0.0,4342158.395631778,Budget,0.0,0.0,0.0,4342158.395631778,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,FFA94,1.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,FFA122,1.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,SOLSTICIO,1.0,0.0,550673.8985660952,Budget,0.0,0.0,0.0,550673.8985660952,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,LA CALI,1.0,0.0,3689287.601027202,Budget,0.0,0.0,0.0,3689287.601027202,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,ACUAGEN,1.0,0.0,1670262.406745547,Budget,0.0,0.0,0.0,1670262.406745547,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,DISPROPAN,1.0,0.0,2051325.933700134,Budget,0.0,0.0,0.0,2051325.933700134,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,V1501,1.0,0.0,4454058.8346963525,Budget,0.0,0.0,0.0,4454058.8346963525,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,ARBOLEDA,1.0,0.0,1100828.82104,Budget,0.0,0.0,0.0,1100828.82104,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,CONSULTORIOS V1501,1.0,0.0,2413393.647596418,Budget,0.0,0.0,0.0,2413393.647596418,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,PLATINUM,1.0,0.0,2152248.473551361,Budget,0.0,0.0,0.0,2152248.473551361,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,CLUB COLOMBIA,1.0,0.0,7813785.708105075,Budget,0.0,0.0,0.0,7813785.708105075,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,CONGENAR,1.0,0.0,1280440.178085818,Budget,0.0,0.0,0.0,1280440.178085818,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,GRAN AVENIDA,1.0,0.0,1263733.9439219998,Budget,0.0,0.0,0.0,1263733.9439219998,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,HITO,1.0,0.0,2124281.82794136,Budget,0.0,0.0,0.0,2124281.82794136,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,PABON,1.0,0.0,5715209.35364023,Budget,0.0,0.0,0.0,5715209.35364023,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,VIVARIUM,1.0,0.0,819610.3409597999,Budget,0.0,0.0,0.0,819610.3409597999,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,BALCONES DE PUBENZA,1.0,0.0,1601037.859386,Budget,0.0,0.0,0.0,1601037.859386,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,NOVACENTRO ZC1,1.0,0.0,1941835.5235000001,Budget,0.0,0.0,0.0,1941835.5235000001,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,NOVACENTRO ZC3,1.0,0.0,1535981.7185500003,Budget,0.0,0.0,0.0,1535981.7185500003,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,NOVACENTRO OFICINAS,1.0,0.0,560312.7858,Budget,0.0,0.0,0.0,560312.7858,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,SAN RAFAEL,1.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso por venta de energía,Energía,Incubadora del sur,1.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costos por venta de energía,Energía,Energía,1.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso granjas OyM,NAOS ,NAOS ,2.0,0.0,12945833.333333332,Budget,0.0,0.0,0.0,12945833.333333332,0
2025-01,Ingresos,Ingreso granjas OyM,DELTA,DELTA,2.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso granjas OyM,POLARIS,POLARIS,2.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso granjas OyM,POLARIS 2,POLARIS 2,2.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso granjas OyM,POLARIS 3,POLARIS 3,2.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso granjas OyM,ORBIS,ORBIS,2.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso granjas OyM,LYRA,LYRA,2.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso granjas OyM,VEGA,VEGA,2.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Ingresos,Ingreso granjas OyM,EVOLTI,EVOLTI,2.0,0.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Seguridad,2.0,1.0,9527097.5,Budget,0.0,0.0,0.0,9527097.5,0
2025-01,Costos,Costo granjas OyM,NAOS,Contador,2.0,1.0,600000.0,Budget,0.0,0.0,0.0,600000.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Abogado,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Técnico,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Kit Herramientas,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Fee,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Fumigación,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Internet,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Equipo de Sebas Lucena,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,Transporte,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,NAOS,TOTAL,2.0,1.0,10127097.5,Budget,0.0,0.0,0.0,10127097.5,0
2025-01,Costos,Costo granjas OyM,DELTA,Seguridad,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,DELTA,Contador,2.0,1.0,600000.0,Budget,0.0,0.0,0.0,600000.0,0
2025-01,Costos,Costo granjas OyM,DELTA,Abogado,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,DELTA,Mantenimiento,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,DELTA,TOTAL,2.0,1.0,600000.0,Budget,0.0,0.0,0.0,600000.0,0
2025-01,Costos,Costo granjas OyM,POLARIS 1,Seguridad,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,POLARIS 1,Contador,2.0,1.0,600000.0,Budget,0.0,0.0,0.0,600000.0,0
2025-01,Costos,Costo granjas OyM,POLARIS 1,Abogado,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,POLARIS 1,Mantenimiento,2.0,1.0,0.0,Budget,0.0,0.0,0.0,0.0,0
2025-01,Costos,Costo granjas OyM,POLARIS 1,TOTAL,2.0,1.0,600000.0,Budget,0.0,0.0,0.0,600000.0,0
